OrderID,CustomerID,ProductID,Quantity,OrderDate,Price,SalesAmount,Month,YearMonth
5140,1956,119,1,2023-07-23,53907,53907,July,2023-07
5141,1796,112,3,2024-06-01,65020,195060,June,2024-06
5142,1865,115,3,2024-05-31,63155,189465,May,2024-05
5143,1694,131,2,2024-03-18,31751,63502,March,2024-03
5144,1549,114,5,2024-11-19,59935,299675,November,2024-11
5145,1649,111,5,2025-04-29,67421,337105,April,2025-04
5146,1850,126,2,2025-04-12,65925,131850,April,2025-04
5147,1568,127,5,2023-12-05,35973,179865,December,2023-12
5148,1187,111,4,2024-01-22,67421,269684,January,2024-01
5149,1853,134,5,2025-11-14,4090,20450,November,2025-11
5150,1770,119,5,2024-05-20,53907,269535,May,2024-05
5151,1445,106,5,2024-11-10,37394,186970,November,2024-11
5152,1570,128,4,2024-11-20,67635,270540,November,2024-11
5153,1363,101,5,2025-06-03,15995,79975,June,2025-06
5154,1123,135,4,2024-09-14,41806,167224,September,2024-09
5155,1188,108,2,2025-06-11,60463,120926,June,2025-06
5156,1742,107,1,2025-08-10,44331,44331,August,2025-08
5157,1680,111,2,2025-02-22,67421,134842,February,2025-02
5158,1420,104,1,2024-05-09,55086,55086,May,2024-05
5159,1626,125,2,2025-11-27,59350,118700,November,2025-11
5160,1252,112,1,2025-01-16,65020,65020,January,2025-01
5161,1619,126,1,2024-03-12,65925,65925,March,2024-03
5162,1549,112,3,2023-12-11,65020,195060,December,2023-12
5163,1335,124,1,2024-07-03,2947,2947,July,2024-07
5164,1092,116,1,2025-03-30,65125,65125,March,2025-03
5165,1530,113,3,2024-06-24,969,2907,June,2024-06
5166,1866,125,5,2023-05-24,59350,296750,May,2023-05
5167,1063,104,5,2024-08-10,55086,275430,August,2024-08
5168,1662,111,3,2024-10-18,67421,202263,October,2024-10
5169,1512,132,4,2023-12-11,11594,46376,December,2023-12
5170,1139,107,1,2024-11-26,44331,44331,November,2024-11
5171,1698,111,1,2023-09-25,67421,67421,September,2023-09
5172,1185,128,3,2023-06-18,67635,202905,June,2023-06
5173,1205,123,3,2023-02-02,18631,55893,February,2023-02
5174,1772,123,4,2024-01-12,18631,74524,January,2024-01
5175,1214,128,5,2024-01-28,67635,338175,January,2024-01
5176,1256,126,2,2024-05-03,65925,131850,May,2024-05
5177,1135,125,5,2024-12-22,59350,296750,December,2024-12
5178,1573,129,1,2025-08-03,57086,57086,August,2025-08
5179,1875,119,3,2025-11-18,53907,161721,November,2025-11
5180,1822,133,4,2023-02-08,69292,277168,February,2023-02
5181,1088,136,5,2025-11-06,10827,54135,November,2025-11
5182,1836,114,4,2025-12-15,59935,239740,December,2025-12
5183,1988,114,5,2023-08-14,59935,299675,August,2023-08
5184,1207,135,1,2023-03-08,41806,41806,March,2023-03
5185,1129,130,2,2025-04-14,67003,134006,April,2025-04
5186,1823,128,4,2025-11-12,67635,270540,November,2025-11
5187,1003,117,4,2025-09-25,68169,272676,September,2025-09
5188,1974,103,2,2023-08-25,77020,154040,August,2023-08
5189,1934,116,4,2025-08-14,65125,260500,August,2025-08
5190,1754,130,4,2025-07-07,67003,268012,July,2025-07
5191,1121,129,5,2024-04-17,57086,285430,April,2024-04
5192,1385,115,5,2024-07-06,63155,315775,July,2024-07
5193,1614,125,2,2024-11-25,59350,118700,November,2024-11
5194,1038,123,1,2023-11-13,18631,18631,November,2023-11
5195,1341,125,4,2024-08-20,59350,237400,August,2024-08
5196,1925,107,1,2025-02-06,44331,44331,February,2025-02
5197,1645,122,2,2025-06-04,25858,51716,June,2025-06
5198,1714,117,2,2024-07-14,68169,136338,July,2024-07
5199,1860,118,5,2023-09-15,5511,27555,September,2023-09
5200,1021,110,4,2025-01-26,41290,165160,January,2025-01
5201,1242,110,3,2023-05-03,41290,123870,May,2023-05
5202,1455,107,2,2023-12-08,44331,88662,December,2023-12
5203,1963,127,4,2025-12-18,35973,143892,December,2025-12
5204,1621,133,1,2023-09-17,69292,69292,September,2023-09
5205,1303,101,5,2023-04-05,15995,79975,April,2023-04
5206,1596,134,1,2023-02-10,4090,4090,February,2023-02
5207,1595,104,2,2023-09-11,55086,110172,September,2023-09
5208,1803,117,2,2023-01-07,68169,136338,January,2023-01
5209,1964,104,1,2024-12-28,55086,55086,December,2024-12
5210,1069,126,2,2023-03-10,65925,131850,March,2023-03
5211,1129,104,4,2024-06-25,55086,220344,June,2024-06
5212,1196,101,2,2023-03-30,15995,31990,March,2023-03
5213,1140,107,5,2023-08-01,44331,221655,August,2023-08
5214,1444,130,4,2025-04-13,67003,268012,April,2025-04
5215,1283,109,3,2023-09-23,16223,48669,September,2023-09
5216,1312,135,2,2025-06-30,41806,83612,June,2025-06
5217,1746,108,2,2023-10-20,60463,120926,October,2023-10
5218,1535,124,5,2023-11-29,2947,14735,November,2023-11
5219,1665,119,5,2025-10-01,53907,269535,October,2025-10
5220,1277,136,1,2023-02-16,10827,10827,February,2023-02
5221,1061,127,1,2024-09-13,35973,35973,September,2024-09
5222,1319,132,1,2024-03-02,11594,11594,March,2024-03
5223,1890,114,5,2023-07-29,59935,299675,July,2023-07
5224,1052,118,1,2025-06-06,5511,5511,June,2025-06
5225,1856,128,1,2023-06-03,67635,67635,June,2023-06
5226,1153,129,3,2024-02-19,57086,171258,February,2024-02
5227,1749,116,1,2025-02-07,65125,65125,February,2025-02
5228,1311,135,2,2025-09-09,41806,83612,September,2025-09
5229,1814,131,5,2024-08-01,31751,158755,August,2024-08
5230,1544,104,4,2025-01-09,55086,220344,January,2025-01
5231,1567,117,3,2023-06-12,68169,204507,June,2023-06
5232,1864,126,5,2025-11-04,65925,329625,November,2025-11
5233,1389,104,5,2023-07-14,55086,275430,July,2023-07
5234,1548,130,2,2024-06-25,67003,134006,June,2024-06
5235,1622,130,1,2023-12-25,67003,67003,December,2023-12
5236,1177,122,2,2025-04-29,25858,51716,April,2025-04
5237,1362,111,1,2024-03-02,67421,67421,March,2024-03
5238,1314,102,1,2024-05-11,1060,1060,May,2024-05
5239,1807,112,5,2025-04-07,65020,325100,April,2025-04
5240,1848,130,1,2024-04-30,67003,67003,April,2024-04
5241,1097,136,3,2023-11-26,10827,32481,November,2023-11
5242,1881,118,3,2025-06-07,5511,16533,June,2025-06
5243,1213,126,3,2025-09-17,65925,197775,September,2025-09
5244,1829,107,5,2023-09-16,44331,221655,September,2023-09
5245,1137,101,2,2023-10-19,15995,31990,October,2023-10
5246,1006,126,4,2023-05-23,65925,263700,May,2023-05
5247,1109,123,1,2025-01-16,18631,18631,January,2025-01
5248,1547,126,4,2024-09-18,65925,263700,September,2024-09
5249,1039,106,2,2023-03-31,37394,74788,March,2023-03
5250,1662,106,2,2024-12-20,37394,74788,December,2024-12
5251,1425,108,5,2024-04-25,60463,302315,April,2024-04
5252,1630,124,3,2023-03-25,2947,8841,March,2023-03
5253,1261,122,3,2024-11-03,25858,77574,November,2024-11
5254,1426,119,2,2024-05-31,53907,107814,May,2024-05
5255,1087,118,5,2024-04-29,5511,27555,April,2024-04
5256,1465,131,5,2025-02-20,31751,158755,February,2025-02
5257,1076,130,1,2023-04-14,67003,67003,April,2023-04
5258,1471,133,3,2023-12-05,69292,207876,December,2023-12
5259,1976,110,2,2024-11-17,41290,82580,November,2024-11
5260,1963,112,4,2025-06-18,65020,260080,June,2025-06
5261,1414,130,3,2024-08-29,67003,201009,August,2024-08
5262,1825,127,1,2023-08-11,35973,35973,August,2023-08
5263,1895,109,5,2025-10-29,16223,81115,October,2025-10
5264,1726,121,2,2025-12-12,72132,144264,December,2025-12
5265,1457,112,3,2024-05-17,65020,195060,May,2024-05
5266,1285,129,4,2025-04-01,57086,228344,April,2025-04
5267,1239,133,1,2024-09-15,69292,69292,September,2024-09
5268,1677,115,1,2023-06-14,63155,63155,June,2023-06
5269,1599,102,3,2025-11-16,1060,3180,November,2025-11
5270,1653,118,4,2025-12-29,5511,22044,December,2025-12
5271,1672,103,1,2023-01-19,77020,77020,January,2023-01
5272,1558,107,2,2025-11-11,44331,88662,November,2025-11
5273,1372,118,1,2025-09-15,5511,5511,September,2025-09
5274,1495,133,4,2024-03-25,69292,277168,March,2024-03
5275,1624,131,5,2024-07-05,31751,158755,July,2024-07
5276,1919,111,5,2025-12-07,67421,337105,December,2025-12
5277,1045,104,3,2024-11-25,55086,165258,November,2024-11
5278,1401,118,4,2024-08-09,5511,22044,August,2024-08
5279,1247,104,1,2024-12-21,55086,55086,December,2024-12
5280,1616,134,1,2023-04-17,4090,4090,April,2023-04
5281,1597,129,5,2025-02-14,57086,285430,February,2025-02
5282,1450,124,5,2025-06-16,2947,14735,June,2025-06
5283,1485,122,2,2023-12-02,25858,51716,December,2023-12
5284,1646,102,5,2024-08-29,1060,5300,August,2024-08
5285,1620,106,2,2025-04-17,37394,74788,April,2025-04
5286,1018,125,1,2024-08-24,59350,59350,August,2024-08
5287,1606,121,2,2024-02-07,72132,144264,February,2024-02
5288,1662,116,2,2024-06-23,65125,130250,June,2024-06
5289,1758,131,3,2025-12-31,31751,95253,December,2025-12
5290,1289,114,5,2023-01-24,59935,299675,January,2023-01
5291,1414,128,2,2024-09-15,67635,135270,September,2024-09
5292,1721,132,1,2025-12-15,11594,11594,December,2025-12
5293,1638,128,4,2025-09-12,67635,270540,September,2025-09
5294,1235,109,2,2023-08-11,16223,32446,August,2023-08
5295,1416,122,5,2023-06-28,25858,129290,June,2023-06
5296,1938,132,3,2025-03-10,11594,34782,March,2025-03
5297,1499,105,1,2024-03-09,6465,6465,March,2024-03
5298,1974,123,3,2025-03-03,18631,55893,March,2025-03
5299,1634,105,4,2025-06-02,6465,25860,June,2025-06
5300,1650,132,2,2024-05-06,11594,23188,May,2024-05
5301,1115,110,2,2025-03-20,41290,82580,March,2025-03
5302,1932,115,5,2025-08-18,63155,315775,August,2025-08
5303,1674,107,2,2024-02-24,44331,88662,February,2024-02
5304,1713,129,1,2024-10-10,57086,57086,October,2024-10
5305,1234,103,4,2024-04-20,77020,308080,April,2024-04
5306,1540,119,3,2023-06-19,53907,161721,June,2023-06
5307,1011,110,4,2023-06-23,41290,165160,June,2023-06
5308,1206,128,2,2024-04-14,67635,135270,April,2024-04
5309,1679,129,3,2023-12-11,57086,171258,December,2023-12
5310,1247,115,5,2024-03-20,63155,315775,March,2024-03
5311,1559,135,4,2025-11-07,41806,167224,November,2025-11
5312,1758,106,3,2025-12-29,37394,112182,December,2025-12
5313,1127,112,3,2024-09-19,65020,195060,September,2024-09
5314,1147,113,3,2024-08-14,969,2907,August,2024-08
5315,1118,129,1,2024-06-10,57086,57086,June,2024-06
5316,1911,119,4,2024-03-31,53907,215628,March,2024-03
5317,1382,103,3,2025-03-21,77020,231060,March,2025-03
5318,1412,108,4,2023-07-07,60463,241852,July,2023-07
5319,1664,108,3,2025-10-17,60463,181389,October,2025-10
5320,1584,120,5,2024-12-11,28893,144465,December,2024-12
5321,1363,104,5,2024-06-12,55086,275430,June,2024-06
5322,1509,121,5,2024-03-09,72132,360660,March,2024-03
5323,1137,103,2,2023-10-15,77020,154040,October,2023-10
5324,1175,108,3,2024-05-13,60463,181389,May,2024-05
5325,1289,123,2,2023-10-30,18631,37262,October,2023-10
5326,1958,116,4,2023-03-28,65125,260500,March,2023-03
5327,1481,113,2,2025-04-09,969,1938,April,2025-04
5328,1019,103,4,2024-03-13,77020,308080,March,2024-03
5329,1195,109,4,2024-06-24,16223,64892,June,2024-06
5330,1330,114,4,2025-11-11,59935,239740,November,2025-11
5331,1936,113,2,2025-04-12,969,1938,April,2025-04
5332,1175,107,3,2025-03-07,44331,132993,March,2025-03
5333,1449,115,2,2024-07-13,63155,126310,July,2024-07
5334,1925,107,3,2025-01-31,44331,132993,January,2025-01
5335,1946,134,3,2024-04-11,4090,12270,April,2024-04
5336,1354,122,4,2024-11-05,25858,103432,November,2024-11
5337,1499,124,2,2024-11-15,2947,5894,November,2024-11
5338,1141,101,3,2023-05-18,15995,47985,May,2023-05
5339,1758,110,5,2024-07-31,41290,206450,July,2024-07
5340,1897,116,3,2024-12-10,65125,195375,December,2024-12
5341,1930,108,5,2023-08-16,60463,302315,August,2023-08
5342,1093,125,2,2023-10-08,59350,118700,October,2023-10
5343,1944,112,2,2024-11-14,65020,130040,November,2024-11
5344,1239,125,2,2025-04-07,59350,118700,April,2025-04
5345,1205,117,3,2024-03-06,68169,204507,March,2024-03
5346,1560,126,1,2025-11-29,65925,65925,November,2025-11
5347,1433,114,3,2023-10-29,59935,179805,October,2023-10
5348,1245,136,3,2024-06-16,10827,32481,June,2024-06
5349,1832,123,4,2025-02-07,18631,74524,February,2025-02
5350,1317,106,4,2024-03-19,37394,149576,March,2024-03
5351,1925,105,3,2025-11-22,6465,19395,November,2025-11
5352,1295,125,5,2023-09-17,59350,296750,September,2023-09
5353,1640,118,4,2025-01-08,5511,22044,January,2025-01
5354,1856,113,3,2025-03-06,969,2907,March,2025-03
5355,1282,114,1,2023-03-11,59935,59935,March,2023-03
5356,1017,128,5,2025-09-09,67635,338175,September,2025-09
5357,1071,118,2,2024-04-25,5511,11022,April,2024-04
5358,1269,128,3,2023-01-24,67635,202905,January,2023-01
5359,1325,127,3,2025-08-22,35973,107919,August,2025-08
5360,1794,132,5,2025-01-15,11594,57970,January,2025-01
5361,1305,109,4,2025-04-24,16223,64892,April,2025-04
5362,1451,132,4,2023-11-21,11594,46376,November,2023-11
5363,1007,120,4,2025-03-08,28893,115572,March,2025-03
5364,1314,128,2,2023-01-18,67635,135270,January,2023-01
5365,1817,133,5,2023-02-13,69292,346460,February,2023-02
5366,1103,104,5,2023-06-04,55086,275430,June,2023-06
5367,1821,134,4,2025-05-16,4090,16360,May,2025-05
5368,1193,103,4,2025-07-10,77020,308080,July,2025-07
5369,1753,126,1,2025-01-12,65925,65925,January,2025-01
5370,1574,108,1,2023-08-13,60463,60463,August,2023-08
5371,1529,106,3,2023-08-05,37394,112182,August,2023-08
5372,1171,116,3,2023-01-31,65125,195375,January,2023-01
5373,1537,124,5,2025-12-18,2947,14735,December,2025-12
5374,1251,130,5,2025-06-16,67003,335015,June,2025-06
5375,1765,113,2,2025-07-23,969,1938,July,2025-07
5376,1387,105,2,2024-03-20,6465,12930,March,2024-03
5377,1207,125,1,2024-06-13,59350,59350,June,2024-06
5378,1541,120,3,2025-01-07,28893,86679,January,2025-01
5379,1629,118,1,2025-05-23,5511,5511,May,2025-05
5380,1416,118,1,2024-07-19,5511,5511,July,2024-07
5381,1794,102,3,2023-03-17,1060,3180,March,2023-03
5382,1380,110,2,2024-06-30,41290,82580,June,2024-06
5383,1144,112,3,2023-09-24,65020,195060,September,2023-09
5384,1025,113,4,2023-11-13,969,3876,November,2023-11
5385,1822,111,4,2023-01-25,67421,269684,January,2023-01
5386,1668,119,4,2023-06-09,53907,215628,June,2023-06
5387,1073,135,5,2024-08-18,41806,209030,August,2024-08
5388,1632,126,2,2025-06-18,65925,131850,June,2025-06
5389,1824,114,2,2024-05-16,59935,119870,May,2024-05
5390,1833,124,5,2025-10-09,2947,14735,October,2025-10
5391,1093,101,1,2024-12-03,15995,15995,December,2024-12
5392,1505,122,4,2023-01-01,25858,103432,January,2023-01
5393,1598,123,4,2025-01-10,18631,74524,January,2025-01
5394,1336,119,1,2023-11-16,53907,53907,November,2023-11
5395,1425,118,3,2024-01-17,5511,16533,January,2024-01
5396,1499,112,3,2025-06-16,65020,195060,June,2025-06
5397,1364,128,2,2024-12-17,67635,135270,December,2024-12
5398,1947,128,5,2023-11-03,67635,338175,November,2023-11
5399,1630,133,2,2024-01-26,69292,138584,January,2024-01
5400,1745,119,3,2025-09-16,53907,161721,September,2025-09
5401,1199,128,1,2023-10-25,67635,67635,October,2023-10
5402,1718,126,2,2023-08-21,65925,131850,August,2023-08
5403,1413,135,4,2023-09-28,41806,167224,September,2023-09
5404,1339,134,4,2025-12-19,4090,16360,December,2025-12
5405,1659,135,1,2024-11-07,41806,41806,November,2024-11
5406,1962,116,3,2024-12-06,65125,195375,December,2024-12
5407,1937,113,4,2023-08-22,969,3876,August,2023-08
5408,1429,123,4,2025-04-24,18631,74524,April,2025-04
5409,1783,122,5,2024-05-05,25858,129290,May,2024-05
5410,1899,116,2,2024-05-17,65125,130250,May,2024-05
5411,1139,128,3,2025-06-08,67635,202905,June,2025-06
5412,1693,135,2,2024-08-14,41806,83612,August,2024-08
5413,1942,108,3,2025-01-15,60463,181389,January,2025-01
5414,1542,122,4,2024-03-03,25858,103432,March,2024-03
5415,1057,121,5,2024-11-27,72132,360660,November,2024-11
5416,1232,126,2,2024-10-07,65925,131850,October,2024-10
5417,1658,121,4,2025-01-01,72132,288528,January,2025-01
5418,1435,125,3,2025-03-10,59350,178050,March,2025-03
5419,1384,101,2,2023-12-30,15995,31990,December,2023-12
5420,1560,106,2,2023-07-21,37394,74788,July,2023-07
5421,1194,123,4,2025-05-31,18631,74524,May,2025-05
5422,1736,123,2,2023-05-26,18631,37262,May,2023-05
5423,1648,123,5,2025-04-15,18631,93155,April,2025-04
5424,1534,132,5,2024-09-30,11594,57970,September,2024-09
5425,1518,130,4,2023-05-15,67003,268012,May,2023-05
5426,1716,113,3,2024-09-17,969,2907,September,2024-09
5427,1751,118,4,2023-03-05,5511,22044,March,2023-03
5428,1185,123,5,2024-05-05,18631,93155,May,2024-05
5429,1872,115,1,2023-02-10,63155,63155,February,2023-02
5430,1292,133,1,2025-10-23,69292,69292,October,2025-10
5431,1335,121,2,2025-07-01,72132,144264,July,2025-07
5432,1732,123,2,2025-09-01,18631,37262,September,2025-09
5433,1116,127,1,2024-01-03,35973,35973,January,2024-01
5434,1825,118,5,2025-07-06,5511,27555,July,2025-07
5435,1049,124,2,2025-10-24,2947,5894,October,2025-10
5436,1685,107,4,2023-09-01,44331,177324,September,2023-09
5437,1082,120,4,2025-06-20,28893,115572,June,2025-06
5438,1834,127,5,2023-06-15,35973,179865,June,2023-06
5439,1333,106,2,2025-11-15,37394,74788,November,2025-11
5440,1557,127,4,2025-11-06,35973,143892,November,2025-11
5441,1335,109,2,2024-12-28,16223,32446,December,2024-12
5442,1532,131,2,2024-04-27,31751,63502,April,2024-04
5443,1960,121,4,2024-06-26,72132,288528,June,2024-06
5444,1221,126,1,2025-07-19,65925,65925,July,2025-07
5445,1635,113,4,2024-02-04,969,3876,February,2024-02
5446,1746,123,5,2024-09-10,18631,93155,September,2024-09
5447,1733,120,3,2025-05-28,28893,86679,May,2025-05
5448,1323,128,4,2023-04-11,67635,270540,April,2023-04
5449,1851,117,2,2025-05-29,68169,136338,May,2025-05
5450,1003,128,2,2025-04-09,67635,135270,April,2025-04
5451,1694,102,4,2025-01-28,1060,4240,January,2025-01
5452,1206,125,3,2023-06-12,59350,178050,June,2023-06
5453,1832,106,4,2024-05-16,37394,149576,May,2024-05
5454,1040,111,3,2024-06-30,67421,202263,June,2024-06
5455,1059,106,3,2024-01-16,37394,112182,January,2024-01
5456,1951,111,5,2025-05-19,67421,337105,May,2025-05
5457,1574,114,2,2025-06-23,59935,119870,June,2025-06
5458,1644,102,2,2025-09-28,1060,2120,September,2025-09
5459,1507,103,3,2024-08-31,77020,231060,August,2024-08
5460,1572,135,2,2023-11-03,41806,83612,November,2023-11
5461,1884,133,1,2023-02-24,69292,69292,February,2023-02
5462,1843,124,3,2025-09-09,2947,8841,September,2025-09
5463,1122,119,2,2023-11-29,53907,107814,November,2023-11
5464,1479,118,1,2023-05-07,5511,5511,May,2023-05
